epoch,accuracy,loss,val_accuracy,val_loss
0,0.920920193195343,0.3828447461128235,0.0,1.9478559494018555
1,0.9257129430770874,0.2901303172111511,0.6395014524459839,0.7657097578048706
2,0.9175652861595154,0.24344080686569214,0.3154362440109253,1.3454887866973877
3,0.9254732728004456,0.21234796941280365,0.31639501452445984,1.410922884941101
4,0.9345794320106506,0.1959381401538849,0.6126558184623718,0.8081322312355042
5,0.9331416487693787,0.17987596988677979,0.6059443950653076,0.8507255911827087
6,0.9470404982566833,0.17497974634170532,0.6538830399513245,0.7768032550811768
7,0.9364964962005615,0.17119814455509186,0.6692233681678772,0.7308614253997803
8,0.9417685270309448,0.16686531901359558,0.6797698736190796,0.6985761523246765
9,0.9350587129592896,0.15999886393547058,0.6596356630325317,0.7383740544319153
